ElectionType,ElectionName,GeographyType,GeographyName,DemName,RepName,CountyName,FIPS,Vote,TotalVote,Latitude,Longitude
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Autauga County,1001,0.355341954201767,20322.3594,32.53514228,-86.64289976
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Baldwin County,1003,0.28318015752848,87868.7496,30.72782468,-87.72274477
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Barbour County,1005,0.529581652863078,7106.2392,31.87009042,-85.39106787
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Bibb County,1007,0.245014651223338,6689.2098,32.99837607,-87.12681433
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Blount County,1009,0.133607635026206,20327.454,33.98087061,-86.5670064
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Bullock County,1011,0.804392757878194,2972.3352,32.10045868,-85.71572943
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Butler County,1013,0.488245017766563,6130.2594,31.75252432,-86.68040924
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Calhoun County,1015,0.364519767249194,35011.5468,33.77141549,-85.82574705
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Chambers County,1017,0.485006017290148,10273.6248,32.91366622,-85.39168915
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Cherokee County,1019,0.17186518890097,9396.6258,34.17588713,-85.60387066
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Chilton County,1021,0.194862738020817,14277.9804,32.84771004,-86.71887934
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Choctaw County,1023,0.481963483271796,4816.5804,32.02019311,-88.26305322
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Clarke County,1025,0.517767740764873,8654.9976,31.67695451,-87.83077181
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Clay County,1027,0.208140646211136,4895.9106,33.26966941,-85.8607443
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Cleburne County,1029,0.116145063970457,5526.1854,33.67495934,-85.51786948
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Coffee County,1031,0.285289475863673,16081.4688,31.40188396,-85.98828821
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Colbert County,1033,0.354625538217623,19542.1578,34.70085284,-87.80463371
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Conecuh County,1035,0.533584421803191,4368.9834,31.42899352,-86.9938237
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Coosa County,1037,0.373804695588022,3810.7608,32.9362956,-86.24789409
Gubernatorial,Alabama,State,Alabama,Jones (D),Tuberville (R),Covington County,1039,0.193093107953026,12366.0498,31.24861005,-86.45142629
