ElectionType,ElectionName,GeographyType,GeographyName,CountyName,FIPS,Vote,TotalVote
Senate,Alabama,State,Alabama,Autauga County,1001,0.326165590796147,20322.3594
Senate,Alabama,State,Alabama,Baldwin County,1003,0.257561596259258,87868.7496
Senate,Alabama,State,Alabama,Barbour County,1005,0.497131331892537,7106.2392
Senate,Alabama,State,Alabama,Bibb County,1007,0.221780563923981,6689.2098
Senate,Alabama,State,Alabama,Blount County,1009,0.119269059133833,20327.454
Senate,Alabama,State,Alabama,Bullock County,1011,0.783136538352184,2972.3352
Senate,Alabama,State,Alabama,Butler County,1013,0.455873014615914,6130.2594
Senate,Alabama,State,Alabama,Calhoun County,1015,0.334981408557523,35011.5468
Senate,Alabama,State,Alabama,Chambers County,1017,0.45265881347319,10273.6248
Senate,Alabama,State,Alabama,Cherokee County,1019,0.154151375892166,9396.6258
Senate,Alabama,State,Alabama,Chilton County,1021,0.175280304737592,14277.9804
Senate,Alabama,State,Alabama,Choctaw County,1023,0.449642029706452,4816.5804
Senate,Alabama,State,Alabama,Clarke County,1025,0.48529452762296,8654.9976
Senate,Alabama,State,Alabama,Clay County,1027,0.187534668493487,4895.9106
Senate,Alabama,State,Alabama,Cleburne County,1029,0.10345676259789,5526.1854
Senate,Alabama,State,Alabama,Coffee County,1031,0.259549184667674,16081.4688
Senate,Alabama,State,Alabama,Colbert County,1033,0.325478299136321,19542.1578
Senate,Alabama,State,Alabama,Conecuh County,1035,0.501150124060475,4368.9834
Senate,Alabama,State,Alabama,Coosa County,1037,0.343921138811315,3810.7608
Senate,Alabama,State,Alabama,Covington County,1039,0.173650155622492,12366.0498
Senate,Alabama,State,Alabama,Crenshaw County,1041,0.279744379779385,4699.4046
Senate,Alabama,State,Alabama,Cullman County,1043,0.122108035148353,31108.3554
Senate,Alabama,State,Alabama,Dale County,1045,0.292215497836646,13799.088
Senate,Alabama,State,Alabama,Dallas County,1047,0.724422459299351,11227.0428
Senate,Alabama,State,Alabama,DeKalb County,1049,0.163465580140301,21390.7698
Senate,Alabama,State,Alabama,Elmore County,1051,0.293400540806057,29947.5144
Senate,Alabama,State,Alabama,Escambia County,1053,0.32679611914736,10806.3744
Senate,Alabama,State,Alabama,Etowah County,1055,0.272649106717934,33245.904
Senate,Alabama,State,Alabama,Fayette County,1057,0.17535781461853,6040.74
Senate,Alabama,State,Alabama,Franklin County,1059,0.16710159376154,8722.683
Senate,Alabama,State,Alabama,Geneva County,1061,0.145037109379114,8966.496
Senate,Alabama,State,Alabama,Greene County,1063,0.825128413082071,2924.3004
Senate,Alabama,State,Alabama,Hale County,1065,0.604786667351777,5267.0886
Senate,Alabama,State,Alabama,Henry County,1067,0.301467886848887,6733.6056
Senate,Alabama,State,Alabama,Houston County,1069,0.317873117613225,31892.9238
Senate,Alabama,State,Alabama,Jackson County,1071,0.178664196387582,16993.4022
Senate,Alabama,State,Alabama,Jefferson County,1073,0.622337146257823,213416.433
Senate,Alabama,State,Alabama,Lamar County,1075,0.15115286120292,4977.4242
Senate,Alabama,State,Alabama,Lauderdale County,1077,0.296165203733521,31320.1452
Senate,Alabama,State,Alabama,Lawrence County,1079,0.233879070660132,11649.8946
Senate,Alabama,State,Alabama,Lee County,1081,0.427648761057286,52269.1404
Senate,Alabama,State,Alabama,Limestone County,1083,0.339043352445179,38186.2104
Senate,Alabama,State,Alabama,Lowndes County,1085,0.745666239603452,4093.875
