ElectionName,DemCandidate,RepCandidate,Estimate,Chance,Flip,DemIncumbent,RepIncumbent,DemParty,RepParty,DemConfirmed,RepConfirmed
AL-01,Jones,TBD,0.2604,0,0,0,0,D,R,1,1
AL-02,Figures,Harris,0.5838,0.9992,0,1,0,D,R,1,1
AL-03,TBD,Rogers,0.2934,0,0,0,1,D,R,1,0
AL-04,TBD,Aderholt,0.1944,0,0,0,1,D,R,1,0
AL-05,TBD,Strong,0.3825,0.0001,0,0,1,D,R,1,1
AL-06,TBD,Palmer,0.3297,0,0,0,1,D,R,1,0
AL-07,Sewell,N/A,1,1,0,1,0,D,,1,1
AK-AL,TBD,Begich,0.4948,0.4277,0,0,1,D,R,1,0
AZ-01,TBD,TBD,0.5209,0.7655,1,0,0,D,R,1,1
AZ-02,TBD,Craine,0.4747,0.1902,0,0,1,D,R,1,0
AZ-03,Ansari,TBD,0.7595,1,0,1,0,D,R,0,1
AZ-04,Stanton,TBD,0.5694,0.991,0,1,0,D,R,0,1
AZ-05,TBD,TBD,0.4355,0.0128,0,0,0,D,R,1,1
AZ-06,TBD,Ciscomani,0.5168,0.7172,1,0,1,D,R,1,0
AZ-07,Grijalva,TBD,0.6961,1,0,1,0,D,R,0,1
AZ-08,TBD,Hamadeh,0.4524,0.0527,0,0,1,D,R,1,0
AZ-09,TBD,Gosar,0.3726,0,0,0,1,D,R,1,0
AR-01,Green,Crawford,0.284,0,0,0,1,D,R,1,1
AR-02,Jones,French Hill,0.4434,0.0226,0,0,1,D,R,1,1
AR-03,Ryerse,Womack,0.3736,0,0,0,1,D,R,1,1
AR-04,Russell,Westerman,0.3083,0,0,0,1,D,R,1,1
CA-01,TBD,Gallagher,0.6007,0.9998,1,0,0,D,R,1,0
CA-02,Huffman,Littau,0.651,1,0,1,0,D,R,0,0
CA-03,Bera,Tucker,0.588,0.999,1,1,0,D,R,0,0
CA-04,Thompson,Riehle,0.6118,1,0,1,0,D,R,0,0
CA-05,TBD,McClintock,0.4019,0.0004,0,0,1,D,R,1,0
CA-06,TBD,TBD,0.5778,0.9963,0,0,0,D,R,1,1
CA-07,Matsui,N/A,1,1,0,1,0,D,,0,1
CA-08,Garamendi,N/A,1,1,0,1,0,D,,0,1
CA-09,Harder,TBD,0.6118,1,0,1,0,D,R,0,1
CA-10,DeSaulnier,Griffiths,0.6992,1,0,1,0,D,R,1,1
CA-11,TBD,Ganezer,0.8872,1,0,0,0,D,R,1,0
CA-12,Simon,N/A,1,1,0,1,0,D,,0,1
CA-13,Gray,TBD,0.5658,0.9896,0,1,0,D,R,0,1
CA-14,TBD,Huang,0.7161,1,0,0,0,D,R,1,0
CA-15,Mullin,Hoelter,0.7673,1,0,1,0,D,R,0,0
CA-16,Liccardo,N/A,1,1,0,1,0,D,,0,1
CA-17,Khanna,N/A,1,1,0,1,0,D,,0,1
CA-18,Lofgren,N/A,1,1,0,1,0,D,,0,1
CA-19,Panetta,Verbica,0.7228,1,0,1,0,D,R,1,1
CA-20,Van Scotter,Fong,0.3627,0,0,0,1,D,R,0,0
CA-21,Costa,TBD,0.5697,0.9925,0,1,0,D,R,0,1
CA-22,TBD,Valadao,0.5155,0.7081,1,0,1,D,R,1,0
CA-23,TBD,Obernolte,0.418,0.002,0,0,1,D,R,1,0
CA-24,Carbajal,Smith,0.6612,1,0,1,0,D,R,0,0
CA-25,Ruiz,Males,0.6012,0.9999,0,1,0,D,R,1,1
