Seats,DemSeats,RepSeats
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0.0001
142,0,0
143,0,0
144,0,0
145,0,0.0001
146,0,0
147,0,0
148,0,0
149,0,0.0002
150,0,0.0001
151,0,0.0002
152,0,0.0002
153,0,0.0002
154,0,0.0002
155,0,0.0003
156,0,0.0001
157,0,0.0006
158,0,0.0003
159,0,0.0002
160,0,0.0002
161,0,0.0005
162,0,0.0006
163,0,0.0009
164,0,0.0006
165,0,0.0006
166,0,0.0007
167,0,0.0007
168,0,0.0011
169,0,0.0008
170,0,0.0009
171,0,0.0009
172,0,0.0011
173,0,0.0013
174,0,0.0012
175,0,0.0023
176,0,0.0021
177,0,0.0029
178,0,0.0026
179,0,0.0029
180,0.0002,0.0034
181,0,0.0037
182,0,0.0037
183,0,0.0046
184,0,0.0048
185,0,0.0056
186,0.0002,0.0061
187,0.0002,0.0073
188,0.0001,0.0089
189,0.0003,0.0099
190,0,0.007
191,0.0002,0.0126
192,0.0002,0.0117
193,0.0006,0.0155
194,0.0006,0.0155
195,0.0005,0.0186
196,0.0004,0.0191
197,0.0005,0.0195
198,0.0008,0.0209
199,0.0013,0.0216
200,0.001,0.025
201,0.0011,0.0268
202,0.0015,0.0286
203,0.0014,0.0315
204,0.0026,0.0337
205,0.0028,0.0367
206,0.0019,0.0339
207,0.0038,0.035
208,0.0055,0.0345
209,0.0053,0.0339
210,0.0083,0.0355
211,0.0087,0.0385
212,0.0116,0.0348
213,0.0132,0.0358
214,0.0176,0.0288
215,0.0226,0.0353
216,0.0249,0.0309
217,0.0251,0.0281
218,0.0281,0.0251
219,0.0309,0.0249
220,0.0353,0.0226
221,0.0288,0.0176
222,0.0358,0.0132
223,0.0348,0.0116
224,0.0385,0.0087
225,0.0355,0.0083
226,0.0339,0.0053
227,0.0345,0.0055
228,0.035,0.0038
229,0.0339,0.0019
230,0.0367,0.0028
231,0.0337,0.0026
232,0.0315,0.0014
233,0.0286,0.0015
234,0.0268,0.0011
235,0.025,0.001
236,0.0216,0.0013
237,0.0209,0.0008
238,0.0195,0.0005
239,0.0191,0.0004
240,0.0186,0.0005
241,0.0155,0.0006
242,0.0155,0.0006
243,0.0117,0.0002
244,0.0126,0.0002
245,0.007,0
246,0.0099,0.0003
247,0.0089,0.0001
248,0.0073,0.0002
249,0.0061,0.0002
250,0.0056,0
251,0.0048,0
252,0.0046,0
253,0.0037,0
254,0.0037,0
255,0.0034,0.0002
256,0.0029,0
257,0.0026,0
258,0.0029,0
259,0.0021,0
260,0.0023,0
261,0.0012,0
262,0.0013,0
263,0.0011,0
264,0.0009,0
265,0.0009,0
266,0.0008,0
267,0.0011,0
268,0.0007,0
269,0.0007,0
270,0.0006,0
271,0.0006,0
272,0.0009,0
273,0.0006,0
274,0.0005,0
275,0.0002,0
276,0.0002,0
277,0.0003,0
278,0.0006,0
279,0.0001,0
280,0.0003,0
281,0.0002,0
282,0.0002,0
283,0.0002,0
284,0.0002,0
285,0.0001,0
286,0.0002,0
287,0,0
288,0,0
289,0,0
290,0.0001,0
291,0,0
292,0,0
293,0,0
294,0.0001,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
