Date,ElectionName,DemChance,RepChance,DemEstimate,RepEstimate,DemLow95,DemHigh95,RepLow95,RepHigh95
2025-11-05,Alabama-01,0,1,0.2514,0.7486,0.199622546,0.303160698,0.696839302,0.800377454
2025-11-05,Alabama-02,0.9372,0.0628,0.5475,0.4525,0.496473175,0.598622387,0.401377613,0.503526825
2025-11-05,Alabama-03,0,1,0.2941,0.7059,0.238049614,0.350173137,0.649826863,0.761950386
2025-11-05,Alabama-04,0,1,0.2003,0.7997,0.144647044,0.256027063,0.743972937,0.855352956
2025-11-05,Alabama-05,0.0003,0.9997,0.3844,0.6156,0.328455831,0.440274979,0.559725021,0.671544169
2025-11-05,Alabama-06,0,1,0.337,0.663,0.286046665,0.387883055,0.612116945,0.713953335
2025-11-05,Alabama-07,1,0,0.6321,0.3679,0.58095315,0.68321215,0.31678785,0.41904685
2025-11-05,Alaska-00,0.3789,0.6211,0.4908,0.5092,0.441888778,0.539766244,0.460233756,0.558111222
2025-11-05,Arizona-01,0.7021,0.2979,0.5165,0.4835,0.465274298,0.567785839,0.432214161,0.534725702
2025-11-05,Arizona-02,0.2344,0.7656,0.4778,0.5222,0.427306147,0.528249747,0.471750253,0.572693853
2025-11-05,Arizona-03,1,0,0.7304,0.2696,0.679295129,0.781603237,0.218396763,0.320704871
2025-11-05,Arizona-04,0.902,0.098,0.5402,0.4598,0.489053931,0.591437025,0.408562975,0.510946069
2025-11-05,Arizona-05,0.0177,0.9823,0.4342,0.5658,0.382754421,0.485628524,0.514371476,0.617245579
2025-11-05,Arizona-06,0.7889,0.2111,0.524,0.476,0.474837379,0.573096873,0.426903127,0.525162621
2025-11-05,Arizona-07,1,0,0.6673,0.3327,0.615963872,0.718570241,0.281429759,0.384036128
2025-11-05,Arizona-08,0.1183,0.8817,0.4637,0.5363,0.413164827,0.514164039,0.485835961,0.586835173
2025-11-05,Arizona-09,0.0001,0.9999,0.3847,0.6153,0.334212553,0.435218868,0.564781132,0.665787447
2025-11-05,Arkansas-01,0,1,0.2846,0.7154,0.233639115,0.335644228,0.664355772,0.766360885
2025-11-05,Arkansas-02,0.0218,0.9782,0.4371,0.5629,0.385754985,0.488363909,0.511636091,0.614245015
2025-11-05,Arkansas-03,0,1,0.3761,0.6239,0.325705722,0.42647731,0.57352269,0.674294278
2025-11-05,Arkansas-04,0,1,0.3094,0.6906,0.258450708,0.360365388,0.639634612,0.741549292
2025-11-05,California-01,0.9993,0.0007,0.6,0.4,0.548342198,0.651737239,0.348262761,0.451657802
2025-11-05,California-02,1,0,0.63,0.37,0.578132022,0.681868366,0.318131634,0.421867978
2025-11-05,California-03,0.9822,0.0178,0.5665,0.4335,0.51447531,0.618550053,0.381449947,0.48552469
2025-11-05,California-04,0.9986,0.0014,0.5949,0.4051,0.542605809,0.647165844,0.352834156,0.457394191
2025-11-05,California-05,0.0037,0.9963,0.4175,0.5825,0.366853001,0.468115867,0.531884133,0.633146999
2025-11-05,California-06,0.9849,0.0151,0.5679,0.4321,0.516345931,0.619449807,0.380550193,0.483654069
2025-11-05,California-07,1,0,1,0,1,1,0,0
2025-11-05,California-08,1,0,0.71,0.29,0.658557888,0.761460124,0.238539876,0.341442112
2025-11-05,California-09,0.9964,0.0036,0.5843,0.4157,0.532715076,0.635861819,0.364138181,0.467284924
2025-11-05,California-10,1,0,0.6694,0.3306,0.617684811,0.721133061,0.278866939,0.382315189
2025-11-05,California-11,1,0,0.8685,0.1315,0.816638506,0.920323377,0.079676623,0.183361494
2025-11-05,California-12,1,0,1,0,1,1,0,0
2025-11-05,California-13,0.91,0.09,0.5421,0.4579,0.490440345,0.593839152,0.406160848,0.509559655
2025-11-05,California-14,1,0,0.7023,0.2977,0.65066351,0.753843608,0.246156392,0.34933649
2025-11-05,California-15,1,0,0.7361,0.2639,0.684371916,0.787838743,0.212161257,0.315628084
2025-11-05,California-16,1,0,0.7889,0.2111,0.732712183,0.845091047,0.154908953,0.267287817
2025-11-05,California-17,1,0,0.7117,0.2883,0.660479099,0.762921618,0.237078382,0.339520901
2025-11-05,California-18,1,0,0.6729,0.3271,0.621344319,0.724455987,0.275544013,0.378655681
2025-11-05,California-19,1,0,0.701,0.299,0.649067232,0.752943044,0.247056956,0.350932768
2025-11-05,California-20,0.0001,0.9999,0.3735,0.6265,0.317952954,0.429134325,0.570865675,0.682047046
2025-11-05,California-21,0.9139,0.0861,0.5427,0.4573,0.491258385,0.59413969,0.40586031,0.508741615
2025-11-05,California-22,0.7074,0.2926,0.5169,0.4831,0.466034244,0.567699388,0.432300612,0.533965756
2025-11-05,California-23,0.0053,0.9947,0.4213,0.5787,0.370617352,0.471985318,0.528014682,0.629382648
2025-11-05,California-24,1,0,0.6384,0.3616,0.586673761,0.690128234,0.309871766,0.413326239
2025-11-05,California-25,0.9945,0.0055,0.5799,0.4201,0.528225023,0.631493024,0.368506976,0.471774977
2025-11-05,California-26,0.9999,0.0001,0.616,0.384,0.564263472,0.667731355,0.332268645,0.435736528
2025-11-05,California-27,0.9758,0.0242,0.5619,0.4381,0.510288339,0.613433339,0.386566661,0.489711661
2025-11-05,California-28,1,0,0.6405,0.3595,0.588781631,0.692191015,0.307808985,0.411218369
2025-11-05,California-29,1,0,0.7009,0.2991,0.64933284,0.752369497,0.247630503,0.35066716
2025-11-05,California-30,1,0,0.6918,0.3082,0.640265404,0.743372729,0.256627271,0.359734596
2025-11-05,California-31,0.9965,0.0035,0.5851,0.4149,0.533173471,0.636997815,0.363002185,0.466826529
2025-11-05,California-32,1,0,0.6363,0.3637,0.584564543,0.688020028,0.311979972,0.415435457
2025-11-05,California-33,1,0,1,0,1,1,0,0
2025-11-05,California-34,1,0,0.7805,0.2195,0.72431473,0.836702695,0.163297305,0.27568527
2025-11-05,California-35,0.9909,0.0091,0.5743,0.4257,0.522489751,0.626026632,0.373973368,0.477510249
2025-11-05,California-36,1,0,0.6931,0.3069,0.641454027,0.744675346,0.255324654,0.358545973
2025-11-05,California-37,1,0,0.824,0.176,0.768165541,0.879807763,0.120192237,0.231834459
