GeographyName,ElectionName,DemCandidate,RepCandidate,DemEstimate,RepEstimate,DemChance,RepChance,Flip,DemLow95,DemHigh95,RepLow95,RepHigh95,DemIncumbent,RepIncumbent,DemParty,RepParty,DemConfirmed,RepConfirmed,Link,MapLink,MarginLink
Alabama,Alabama,Wess,Moore,0.3994,0.6006,0.0055,0.9945,0,0.334354301597981,0.464406217374304,0.535593782625696,0.665645698402019,0,0,D,R,1,1,https://seattally.com/#/senate/Alabama,https://datawrapper.dwcdn.net/L5jYd/3/,https://datawrapper.dwcdn.net/Xzqvr/6/
Alaska,Alaska,Peltola,Sullivan,0.4917,0.5083,0.4091,0.5909,0,0.432500870282192,0.55095069589943,0.44904930410057,0.567499129717808,0,1,D,R,1,1,https://seattally.com/#/senate/Alaska,https://datawrapper.dwcdn.net/M2ODU/6/,https://datawrapper.dwcdn.net/bViLE/2/
Arkansas,Arkansas,Shoffner,Cotton,0.4246,0.5754,0.0204,0.9796,0,0.363974824167558,0.485212728932374,0.514787271067626,0.636025175832442,0,1,D,R,1,1,https://seattally.com/#/senate/Arkansas,https://datawrapper.dwcdn.net/Kk7CG/3/,https://datawrapper.dwcdn.net/F9ovZ/1/
Colorado,Colorado,Hickenlooper,Baisley,0.5928,0.4072,0.9766,0.0234,0,0.515979874565281,0.669586887195227,0.330413112804773,0.484020125434719,1,0,D,R,1,1,https://seattally.com/#/senate/Colorado,https://datawrapper.dwcdn.net/IlKUu/2/,https://datawrapper.dwcdn.net/avav2/1/
Delaware,Delaware,Coons,TBD,0.6244,0.3756,0.995,0.005,0,0.544874892211292,0.703924486374921,0.296075513625079,0.455125107788708,1,0,D,R,0,1,https://seattally.com/#/senate/Delaware,https://datawrapper.dwcdn.net/qTVob/3/,https://datawrapper.dwcdn.net/MdUgq/1/
Georgia,Georgia,Ossoff,Collins,0.538,0.462,0.8627,0.1373,0,0.480759080678872,0.59531297930509,0.40468702069491,0.519240919321128,1,0,D,R,1,1,https://seattally.com/#/senate/Georgia,https://datawrapper.dwcdn.net/WpSPx/2/,https://datawrapper.dwcdn.net/lZ4Nz/1/
Idaho,Idaho,Achilles,Risch,0.3517,0.6483,0,1,0,0.292025232986657,0.411443742427628,0.588556257572372,0.707974767013343,0,1,I,R,1,1,https://seattally.com/#/senate/Idaho,https://datawrapper.dwcdn.net/Qum5t/3/,https://datawrapper.dwcdn.net/E6Pjq/1/
Illinois,Illinois,Stratton,Tracy,0.6072,0.3928,0.9798,0.0202,0,0.521194031051884,0.69328885993422,0.30671114006578,0.478805968948116,0,0,D,R,1,1,https://seattally.com/#/senate/Illinois,https://datawrapper.dwcdn.net/ZGlkl/2/,https://datawrapper.dwcdn.net/UhXKm/1/
Iowa,Iowa,Turek,Hinson,0.5009,0.4991,0.5103,0.4897,1,0.443193422212841,0.558613156164907,0.441386843835093,0.556806577787159,0,0,D,R,1,1,https://seattally.com/#/senate/Iowa,https://datawrapper.dwcdn.net/C2y4s/2/,https://datawrapper.dwcdn.net/NcQu0/1/
Kansas,Kansas,Hamilton,Marshall,0.4634,0.5366,0.1469,0.8531,0,0.406151841675048,0.520734146449536,0.479265853550464,0.593848158324952,0,1,D,R,1,1,https://seattally.com/#/senate/Kansas,https://datawrapper.dwcdn.net/HLFkX/2/,https://datawrapper.dwcdn.net/aozqk/1/
Kentucky,Kentucky,Booker,Barr,0.4083,0.5917,0.0209,0.9791,0,0.33416618012589,0.482377396074919,0.517622603925081,0.66583381987411,0,0,D,R,1,1,https://seattally.com/#/senate/Kentucky,https://datawrapper.dwcdn.net/4tMEr/2/,https://datawrapper.dwcdn.net/epWaB/1/
Louisiana,Louisiana,Davis,Letlow,0.4456,0.5544,0.087,0.913,0,0.379685684396015,0.511438601639238,0.488561398360762,0.620314315603985,0,0,D,R,1,1,https://seattally.com/#/senate/Louisiana,https://datawrapper.dwcdn.net/H2YUW/2/,https://datawrapper.dwcdn.net/gidh7/1/
Maine,Maine,Jackson,Collins,0.5225,0.4775,0.7424,0.2576,1,0.465564078262568,0.57951795446691,0.42048204553309,0.534435921737432,0,1,D,R,1,1,https://seattally.com/#/senate/Maine,https://datawrapper.dwcdn.net/IJ91S/2/,https://datawrapper.dwcdn.net/r8EsT/1/
Massachusetts,Massachusetts,Markey,Deaton,0.654,0.346,1,0,0,0.597463099189863,0.71062076317851,0.28937923682149,0.402536900810137,1,0,D,R,1,1,https://seattally.com/#/senate/Massachusetts,https://datawrapper.dwcdn.net/YFinC/2/,https://datawrapper.dwcdn.net/INabw/1/
Michigan,Michigan,El-Sayed,Rogers,0.5279,0.4721,0.797,0.203,0,0.472701550258846,0.583006303328626,0.416993696671374,0.527298449741154,0,0,D,R,1,1,https://seattally.com/#/senate/Michigan,https://datawrapper.dwcdn.net/HOuqv/2/,https://datawrapper.dwcdn.net/TcLUy/1/
Minnesota,Minnesota,Flanagan,Tafoya,0.5473,0.4527,0.9097,0.0903,0,0.489182522323338,0.60549828269862,0.39450171730138,0.510817477676662,0,0,D,R,1,1,https://seattally.com/#/senate/Minnesota,https://datawrapper.dwcdn.net/GCOJQ/7/,https://datawrapper.dwcdn.net/GsVeF/1/
Mississippi,Mississippi,Colom,Hyde-Smith,0.4381,0.5619,0.0453,0.9547,0,0.377897452035272,0.498275960556797,0.501724039443203,0.622102547964728,0,1,D,R,1,1,https://seattally.com/#/senate/Mississippi,https://datawrapper.dwcdn.net/LhaVT/1/,https://datawrapper.dwcdn.net/cbONR/1/
Montana,Montana,Bodnar,Alme,0.403,0.597,0.0053,0.9947,0,0.340603138128887,0.465451173261849,0.534548826738151,0.659396861871113,0,0,I,R,0,1,https://seattally.com/#/senate/Montana,https://datawrapper.dwcdn.net/Qnl9M/1/,https://datawrapper.dwcdn.net/js8FS/1/
Nebraska,Nebraska,Osborn,Ricketts,0.4555,0.5445,0.1054,0.8946,0,0.396999140805222,0.513989117357139,0.486010882642861,0.603000859194778,0,1,I,R,1,1,https://seattally.com/#/senate/Nebraska,https://datawrapper.dwcdn.net/FjBVc/1/,https://datawrapper.dwcdn.net/x9rhn/1/
New Hampshire,New Hampshire,Pappas,Sununu,0.5279,0.4721,0.7799,0.2201,0,0.468464333008042,0.587268770709809,0.412731229290191,0.531535666991958,0,0,D,R,0,0,https://seattally.com/#/senate/New Hampshire,https://datawrapper.dwcdn.net/uxoKJ/1/,https://datawrapper.dwcdn.net/3U8Wo/1/
New Jersey,New Jersey,Booker,Murphy,0.5829,0.4171,0.9633,0.0367,0,0.506740414323385,0.659122682862961,0.340877317137039,0.493259585676615,1,0,D,R,1,1,https://seattally.com/#/senate/New Jersey,https://datawrapper.dwcdn.net/fq5wz/1/,https://datawrapper.dwcdn.net/F74Ob/1/
New Mexico,New Mexico,Lujan,Marker,0.5779,0.4221,0.9833,0.0167,0,0.517653884683814,0.638126373734343,0.361873626265657,0.482346115316186,1,0,D,R,1,1,https://seattally.com/#/senate/New Mexico,https://datawrapper.dwcdn.net/WlskN/1/,https://datawrapper.dwcdn.net/YvyD9/1/
North Carolina,North Carolina,Cooper,Whatley,0.5364,0.4636,0.8493,0.1507,1,0.478438795767497,0.594430860342066,0.405569139657934,0.521561204232503,0,0,D,R,1,1,https://seattally.com/#/senate/North Carolina,https://datawrapper.dwcdn.net/iRszJ/2/,https://datawrapper.dwcdn.net/eP9bN/1/
